Old Driver,New Driver,64 bit inf path,32 bit inf path
HP Universal Printing PCL 6,HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v4.7),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.0),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.1),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.2),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.3),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.4),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.5.0),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.6.0),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
HP Universal Printing PCL 6 (v5.6.1),HP Universal Printing PCL 6 (v6.5.0),C:\HP Universal Print Driver\pcl6-x64-6.5.0.22695\hpcu210u.inf,C:\HP Universal Print Driver\pcl6-x32-6.5.0.22695\hpcu210c.inf
